"id-icono-nombre-descripcion"
"1","https://static.wikia.nocookie.net/bindingofisaac/images/f/f9/Objeto_Accidente_de_Lim%C3%B3n.png/revision/latest?cb=20210304050905&path-prefix=es","Accidente de Limón","Crea un pequeño charco de creep, dañando a los enemigos que lo pisen."
"2","https://static.wikia.nocookie.net/bindingofisaac/images/d/dc/Objeto_Botella_de_P%C3%ADldoras_de_Mam%C3%A1.png/revision/latest?cb=20210304051638&path-prefix=es","Botella de Píldoras de Mamá","Genera una píldora al azar."
"3","https://static.wikia.nocookie.net/bindingofisaac/images/7/74/Objeto_Cabeza_de_Tammy.png/revision/latest?cb=20210304051912&path-prefix=es","Cabeza de Tammy","Dispara 10 lágrimas alrededor de Isaac que toman su daño, velocidad de proyectil y efectos de lágrima."
"4","https://static.wikia.nocookie.net/bindingofisaac/images/5/58/Objeto_Cabeza_podrida_de_Bob.png/revision/latest?cb=20210304050545&path-prefix=es","Cabeza podrida de Bob","Al activarlo, Isaac sostiene una bomba venenosa que puede lanzar en las direcciones cardinales y explota al impactar."
"5","https://static.wikia.nocookie.net/bindingofisaac/images/9/9a/Objeto_Control_Remoto_de_Doctor.png/revision/latest?cb=20210304050724&path-prefix=es","Control Remoto de Doctor","Crea una mira en el piso que se puede mover con los controles de disparo. Un misil cae en ese punto después de 2 segundos, creando una gran explosión."
"6","https://static.wikia.nocookie.net/bindingofisaac/images/e/e3/Objeto_Hoja_de_Afeitar.png/revision/latest?cb=20210415211643&path-prefix=es","Cuchilla","Isaac recibe un corazón de daño y obtiene + 1.2 Daño durante la habitación actual."
"7","https://static.wikia.nocookie.net/bindingofisaac/images/5/53/Objeto_Delicioso_Coraz%C3%B3n.png/revision/latest?cb=20210304052039&path-prefix=es","Delicioso Corazón","Cura un corazón rojo."
"8","https://static.wikia.nocookie.net/bindingofisaac/images/f/f9/Objeto_Diente_de_Monstro.png/revision/latest?cb=20210304051700&path-prefix=es","Diente de Monstro","Un Monstro aliado salta sobre un enemigo al azar, causando 120 de daño en área. Cae sobre Isaac si no hay enemigos en la habitación."
"9","https://static.wikia.nocookie.net/bindingofisaac/images/7/7c/Objeto_El_D6.png/revision/latest?cb=20210304051947&path-prefix=es","El D6","Cambia los objetos de la habitación actual por otros objetos de la fuente de obtención de objetos de la misma habitación."
"10","https://static.wikia.nocookie.net/bindingofisaac/images/e/ee/Objeto_El_Necronomic%C3%B3n.png/revision/latest?cb=20210304051959&path-prefix=es","El Necronomicón","Causa 40 de daño a todos los enemigos de la habitación."
"11","https://static.wikia.nocookie.net/bindingofisaac/images/3/37/Objeto_El_clavo.png/revision/latest?cb=20210304051958&path-prefix=es","El clavo","Da RP un corazón de alma RP medio corazón negro. Durante la habitación actual, Isaac recibe + 0.7 Daño, - 0.18 Velocidad y permite destruir rocas y causar daño a los enemigos al caminar hacia ellos."
"12","https://static.wikia.nocookie.net/bindingofisaac/images/4/49/Objeto_El_frijol.png/revision/latest?cb=20210304051925&path-prefix=es","El frijol","Isaac suelta un gas que envenena a los enemigos cercanos."
"13","https://static.wikia.nocookie.net/bindingofisaac/images/5/5b/Objeto_El_reloj_de_arena.png/revision/latest?cb=20210415211917&path-prefix=es","El reloj de arena","Todos los enemigos de la habitación son ralentizados durante 8 segundos."
"14","https://static.wikia.nocookie.net/bindingofisaac/images/4/4d/Objeto_El_Gamekid.png/revision/latest?cb=20210415211911&path-prefix=es","Gamebye Ädvance","Da invencibilidad durante 6 segundos, y todos los enemigos recibirán efecto de miedo. Isaac recuperará medio corazón rojo por cada 2 enemigos matados."
"15","https://static.wikia.nocookie.net/bindingofisaac/images/b/b8/Objeto_Kamehame..._%C2%A1%C2%BFEeeeeeh%3F%21.png/revision/latest?cb=20210304051836&path-prefix=es","Kamehame... ¡¿Eeeeeeh?!","Dispara un láser desde la boca de Isaac."
